year,league,teamname,result
2021,LCS,Counter Logic Gaming,0.2653061224489796
2021,LCS,Dignitas,0.423728813559322
2021,LCS,Evil Geniuses,0.5571428571428572
2021,LCS,FlyQuest,0.3137254901960784
2021,LCS,Golden Guardians,0.2777777777777778
2021,LCS,Immortals,0.43103448275862066
2021,LCS,TSM,0.5802469135802469
2021,LCS,Team Liquid,0.6086956521739131
2021,LEC,Excel Esports,0.3888888888888889
2021,LEC,FC Schalke 04 Esports,0.375
2021,LEC,Fnatic,0.5538461538461539
2021,LEC,G2 Esports,0.5862068965517241
2021,LEC,MAD Lions,0.6666666666666666
2021,LEC,Misfits Gaming,0.5217391304347826
2021,LEC,Rogue,0.609375
2021,LEC,SK Gaming,0.35
2021,LEC,Team Vitality,0.36585365853658536
2021,LLA,All Knights,0.425
2021,LLA,Furious Gaming,0.5714285714285714
2021,LLA,Infinity Esports,0.7
2021,LLA,Isurus,0.4166666666666667
2021,LLA,Kaos Latin Gamers,0.17857142857142858
2021,LLA,Rainbow7,0.5121951219512195
2021,LLA,XTEN Esports,0.4482758620689655
2021,LPL,Bilibili Gaming,0.4878048780487805
2021,LPL,EDward Gaming,0.7171717171717171
2021,LPL,FunPlus Phoenix,0.6923076923076923
2021,LPL,Invictus Gaming,0.4935064935064935
2021,LPL,JD Gaming,0.5675675675675675
2021,LPL,LGD Gaming,0.3783783783783784
2021,LPL,LNG Esports,0.514018691588785
2021,LPL,Oh My God,0.38461538461538464
2021,LPL,Rogue Warriors,0.2361111111111111
2021,LPL,Royal Never Give Up,0.6632653061224489
2021,LPL,Suning,0.6
2021,LPL,Team WE,0.5370370370370371
2021,LPL,Top Esports,0.6067415730337079
2021,LPL,Victory Five,0.2465753424657534
2022,LCK,DRX,0.49473684210526314
2022,LCK,DWG KIA,0.6039603960396039
2022,LCK,Gen.G,0.7604166666666666
2022,LCK,Hanwha Life Esports,0.2696629213483146
2022,LCK,KT Rolster,0.4946236559139785
2022,LCK,Kwangdong Freecs,0.391304347826087
2022,LCK,Liiv SANDBOX,0.4666666666666667
2022,LCK,T1,0.7450980392156863
2022,LCS,100 Thieves,0.6
2022,LCS,Cloud9,0.6111111111111112
2022,LCS,Counter Logic Gaming,0.46551724137931033
2022,LCS,Dignitas,0.32608695652173914
2022,LCS,Evil Geniuses,0.6627906976744186
2022,LCS,FlyQuest,0.4482758620689655
2022,LCS,Golden Guardians,0.3333333333333333
2022,LCS,Immortals,0.225
2022,LCS,TSM,0.34
2022,LCS,Team Liquid,0.6419753086419753
2022,LEC,Excel Esports,0.48936170212765956
2022,LEC,Fnatic,0.5846153846153846
2022,LEC,G2 Esports,0.6774193548387096
2022,LEC,MAD Lions,0.5111111111111111
2022,LEC,Misfits Gaming,0.49019607843137253
2022,LEC,Rogue,0.6349206349206349
2022,LEC,SK Gaming,0.3888888888888889
2022,LEC,Team Vitality,0.4666666666666667
2022,LLA,All Knights,0.30303030303030304
2022,LLA,Furious Gaming,0.4166666666666667
2022,LLA,Infinity Esports,1.0
2022,LLA,Isurus,0.5517241379310345
2022,LLA,Kaos Latin Gamers,0.25
2022,LLA,Rainbow7,0.5882352941176471
2022,LLA,XTEN Esports,0.4146341463414634
2022,LPL,Bilibili Gaming,0.5
2022,LPL,EDward Gaming,0.6116504854368932
2022,LPL,FunPlus Phoenix,0.47368421052631576
2022,LPL,Invictus Gaming,0.3780487804878049
2022,LPL,JD Gaming,0.6635514018691588
2022,LPL,LGD Gaming,0.3333333333333333
2022,LPL,LNG Esports,0.5288461538461539
2022,LPL,Oh My God,0.48314606741573035
2022,LPL,Royal Never Give Up,0.64
2022,LPL,Team WE,0.26582278481012656
2022,LPL,Top Esports,0.639344262295082
2022,LPL,Victory Five,0.6842105263157895
